animalId,animalName,location,age,ageStatus,microchipId,species,breed1,breed2,sex,color1,color2,size,sterilized,vaccinated,houseTrained,registrationDate,shelterTenure,specialNeeds,goodWithDogs,goodWithCats,goodWithOther,goodWithChildren,fosterStatus,shelterId,description
31000,Danny,shelter,1,baby,KvN9a59ApD5ip46,dog,Collie,Mixed Breed,male,black,cream,medium,no,no,yes,2019-03-04,58,no,no,yes,yes,no,Available to foster,91020,"Pup 3 of 4 (Born: 21st-August-). This little fella looks like Brownie, just a black version. Notice the similarity in the even tones. But he looks more like Daisy since both are of the same blackish shades. Very possible father to this pup is Dad 2 (as seen in Brownie's profile). I think it was this little fella (or Daisy) who tried to play hero by ""growling"" at me when I approached it to take them over to my home for feeding initially. Quite hillarious listening to a puppy growl."
31001,Mylo,home,9,young,wTM3kWlkbeshcru,cat,Singapura,None,male,brown,white,medium,yes,yes,yes,2019-03-20,42,no,yes,yes,yes,no,Adopted,0,Mylo is a handsome cat looking a bit like a Singapura with a round head and white rings round the eyes. he is at the ISPCA cattery and waiting for a loving owner.
31002,Quicksilver,foster home,6,baby,753ZiZF8XGXabKG,cat,Domestic Short Hair,None,male,gray,white,medium,yes,yes,no,2019-04-25,6,no,yes,no,no,yes,Not available to foster,0,"very friendly, playful but possessive over feather toys. for more info petepicure.wordpress.com"
31003,Puppy,home,3,baby,MPuBnSDIzox0cUX,dog,Mixed Breed,None,male,brown,None,medium,no,no,yes,2019-04-28,3,no,no,no,yes,no,Adopted,0,I found this puppy wandering around somewhere near Atria mall and decided to take him in. He's a very feisty puppy and within 1 day warmed up to being around people. He's very energetic and is generally a good puppy considering he does not cry at night ( only when he wants attention in the morning ) But that's normal for a puppy :) I don't think he has started teething yet because he hasn't started being destructive. I would really want to find him a home as soon as possible and it would break 
31004,Shih Tzu,home,54,adult,9UaEM7VN31dBvdO,dog,Shih Tzu,None,female,golden,None,small,yes,no,no,2019-01-07,114,no,no,no,yes,yes,Adopted,0,"She is very quiet and a very good watch dog she can get along we'll with other dogs . Friendly , easy going loves to watch tv send me SMS if u interested pls no calls thank you . Reason giving away too many dogs at home"
31005,Bubble,shelter,18,young,UUGlqqgATb9Q2U4,cat,Domestic Short Hair,None,male,golden,white,small,no,yes,no,2019-01-09,112,no,yes,no,yes,no,Pending,91015,"Very loving sweet manja cat that was abandoned by his expat family. Whole body white, head orange patch and long orange tail."
31006,Meeka,foster home,1,baby,z6TX3VTqZFXlW0B,cat,Ragdoll,Himalayan,female,brown,white,large,no,no,yes,2019-02-28,62,no,no,yes,yes,yes,Not available to foster,0,Soft and fluffy. Friendly and cuddly too. Owner had too many cats so had to let go of the cat she has.
31007,Ginger Boy,home,22,young,l0dDAKKGykuz6FH,dog,Mixed Breed,None,male,brown,golden,medium,no,yes,yes,2019-04-02,29,no,yes,yes,no,yes,Adopted,0,"Hi guys! Anyone care to give this furbaby a home? He has been with us in the clinic for almost a month...and if u can c he has fully recovered.But unfortunately, he is still kept in the clinic due to we r unable to kep it at our home as we have dogs and cat at home.As long as he is in the clinic, his boarding charges will be goin up day by day and he will be caged till he gets a home. I'm seeking for someone who can give him a home. I hope there is some kind soul out there who is willing to hel"
31008,Tiger Girl,home,2,baby,36NOFeI6wufUUIe,dog,Mixed Breed,None,female,black,brown,medium,yes,yes,no,2019-01-01,120,no,no,no,yes,no,Adopted,0,"This cute puppy with tiger-like colouring was rescued from USJ 1 factory area in Subang Jaya with her siblings. Adopter must commit to spaying the puppy. As she is still too young, I will bring interested the adopter to my vet in Taipan, Subang where adopter shall pay the vet RM spaying fee(this is RESCUE RATE) and keep the receipt until the puppy is old enough to be spayed. Just bring the receipt back to the vet and the doctor will proceed to spay with no additional charge. Address of clinic i"
31009,Tiger Or Ti-girl,shelter,4,baby,lnbgczEuk65dVrn,dog,Mixed Breed,None,female,black,None,medium,no,no,yes,2019-03-22,40,no,yes,yes,yes,yes,Available to foster,91010,"To All Kind Hearted, Hi. came across a puppy nearby my housing area. She is about 4 months old & start roaming around. Fearing that she may be run over by moving vehicle. We decided to help her to look for a home. Tiger aka Ti-girl has deticked & dewormed. She is healthy, affectionate, warm and found out that she is good in taking care the house. She will be spayed before handing over to the adopter. Please help spread the words around and help this cute FEMALE pup find a loving home. You are a"
31010,Duzell,shelter,1,baby,iAeHWb2NvXfYNHd,cat,Domestic Medium Hair,None,female,black,gray,medium,no,no,yes,2019-01-02,119,no,yes,no,no,yes,Pending,91018,"Hi, my cat has 3 kittens up for adoption. I am unable to take care of so many cats as I'm always out of house due to work so I'm looking for kind, caring people to take care of them and want to have their own cats as pets as soon as possible. The 2nd one is Duzell, the only female of the bunch. She's very playful and loves to follow you around once she gets close to you. Her colour is not too black and has a hint of gray. She has a pair of 'white stockings' on her back legs which makes her look"
