homeId,homeType,fencedBackyard,homeOwnership,residents,pets,petsVaccinated,fosterId
71000,apartment or condo,no,no,4,1,no,51000
71001,apartment or condo,no,no,4,0,not applicable,51001
71002,house,no,no,3,3,yes,51002
71003,house,no,no,2,0,not applicable,51003
71004,house,no,yes,1,1,yes,51004
71005,apartment or condo,no,no,1,4,no,51005
71006,house,yes,yes,1,1,yes,51006
71007,house,yes,no,3,0,not applicable,51007
71008,house,yes,yes,1,0,not applicable,51008
71009,house,no,no,2,2,no,51009
71010,apartment or condo,no,yes,3,0,not applicable,51010
71011,apartment or condo,no,yes,2,3,no,51011
71012,house,no,yes,2,4,yes,51012
71013,apartment or condo,no,yes,1,1,yes,51013
71014,apartment or condo,no,no,1,3,yes,51014
71015,apartment or condo,no,no,4,1,no,51015
71016,house,no,yes,2,3,yes,51016
71017,apartment or condo,no,yes,1,2,yes,51017
71018,house,yes,yes,1,0,not applicable,51018
71019,house,yes,no,1,1,yes,51019
71020,house,yes,yes,2,4,no,51020
71021,house,yes,no,1,0,not applicable,51021
71022,house,yes,no,6,0,not applicable,51022
71023,house,yes,yes,2,0,not applicable,51023
71024,house,no,no,1,0,not applicable,51024
71025,apartment or condo,no,yes,6,1,yes,51025
71026,house,yes,yes,2,2,yes,51026
71027,house,yes,yes,6,1,yes,51027
71028,house,yes,no,2,3,yes,51028
71029,apartment or condo,no,no,1,2,yes,51029
71030,apartment or condo,no,no,1,1,yes,51030
71031,apartment or condo,no,yes,1,2,yes,51031
71032,house,yes,no,2,4,yes,51032
71033,house,yes,no,2,3,yes,51033
71034,house,yes,yes,5,1,yes,51034
71035,apartment or condo,no,no,6,2,yes,51035
71036,apartment or condo,no,yes,3,1,yes,51036
71037,house,yes,no,2,4,yes,51037
71038,house,no,yes,3,2,yes,51038
71039,apartment or condo,no,yes,1,1,yes,51039
71040,house,yes,no,2,3,no,51040
71041,house,no,yes,3,2,yes,51041
71042,apartment or condo,no,no,2,0,not applicable,51042
71043,house,yes,no,4,1,no,51043
71044,house,yes,no,2,1,yes,51044
71045,apartment or condo,no,yes,2,1,no,51045
71046,apartment or condo,no,no,5,2,yes,51046
71047,apartment or condo,no,no,2,1,yes,51047
71048,apartment or condo,no,no,1,1,yes,51048
71049,house,yes,no,1,0,not applicable,51049
71050,house,yes,no,5,0,not applicable,51050
71051,house,yes,yes,1,0,not applicable,51051
71052,apartment or condo,no,yes,3,1,yes,51052
71053,apartment or condo,no,yes,6,1,no,51053
71054,house,yes,no,1,2,no,51054
71055,house,no,yes,1,0,not applicable,51055
71056,apartment or condo,no,no,2,1,no,51056
71057,house,yes,yes,2,1,yes,51057
71058,apartment or condo,no,yes,5,1,yes,51058
71059,apartment or condo,no,yes,4,2,yes,51059
71060,house,yes,yes,3,0,not applicable,51060
71061,house,yes,yes,1,0,not applicable,51061
71062,apartment or condo,no,yes,1,1,yes,51062
71063,apartment or condo,no,no,6,1,no,51063
71064,house,no,no,1,0,not applicable,51064
71065,house,no,no,6,0,not applicable,51065
71066,house,no,no,2,2,yes,51066
71067,house,yes,yes,2,4,yes,51067
71068,house,yes,yes,4,1,yes,51068
71069,house,no,no,4,1,yes,51069
71070,house,yes,no,3,0,not applicable,51070
71071,apartment or condo,no,no,2,3,yes,51071
71072,house,yes,no,6,4,yes,51072
71073,apartment or condo,no,no,2,1,yes,51073
71074,house,no,yes,2,1,yes,51074
71075,apartment or condo,no,no,5,3,yes,51075
71076,apartment or condo,no,no,2,3,no,51076
71077,apartment or condo,no,yes,2,2,yes,51077
71078,apartment or condo,no,no,4,0,not applicable,51078
71079,house,yes,yes,3,1,yes,51079
71080,apartment or condo,no,no,1,4,yes,51080
71081,house,yes,no,1,4,no,51081
71082,house,yes,no,2,1,yes,51082
71083,house,yes,yes,6,2,yes,51083
71084,apartment or condo,no,yes,1,0,not applicable,51084
71085,house,yes,no,6,0,not applicable,51085
71086,house,yes,no,2,1,yes,51086
71087,apartment or condo,no,yes,2,2,yes,51087
71088,apartment or condo,no,no,5,1,no,51088
71089,house,no,yes,2,2,yes,51089
71090,house,no,no,6,1,yes,51090
71091,house,yes,yes,6,2,no,51091
71092,house,no,yes,4,1,yes,51092
71093,house,yes,yes,6,1,yes,51093
71094,house,no,no,2,4,no,51094
71095,house,no,no,2,1,yes,51095
71096,house,yes,yes,1,2,yes,51096
71097,house,no,yes,2,4,no,51097
71098,house,no,no,3,0,not applicable,51098
71099,house,yes,yes,2,4,yes,51099
71100,house,yes,no,4,0,not applicable,51100
71101,house,no,no,1,2,yes,51101
71102,house,yes,yes,2,0,not applicable,51102
71103,house,yes,yes,1,0,not applicable,51103
71104,house,no,no,1,2,yes,51104
