homeReqId,homeType,fencedBackyard,homePrefWithMen,homePrefWithWomen,homePrefWithChildren,homePrefWithPets,animalId
101825,any,no,yes,yes,yes,yes,31833
101826,any,no,yes,yes,yes,yes,31834
101827,any,no,yes,yes,yes,yes,31835
101828,any,no,yes,yes,yes,yes,31836
101829,any,yes,yes,yes,yes,yes,31837
101830,any,no,yes,yes,yes,yes,31838
101831,any,no,yes,yes,yes,yes,31839
101832,any,yes,yes,yes,yes,yes,31840
101833,house,yes,yes,yes,yes,yes,31813
101834,house,no,yes,yes,yes,yes,31814
101835,house,no,yes,yes,yes,yes,31815
101836,house,no,yes,yes,yes,yes,31816
101837,house,yes,yes,yes,yes,yes,31817
101838,house,yes,yes,yes,yes,yes,31818
101839,house,yes,yes,yes,yes,yes,31819
101840,house,yes,yes,yes,yes,yes,31820
101841,house,yes,yes,yes,yes,yes,31821
101842,house,yes,yes,yes,yes,yes,31827
101843,house,yes,yes,yes,yes,yes,31829
101844,house,no,yes,yes,yes,yes,31831
101845,house,no,yes,yes,yes,yes,31828
101846,house,yes,yes,yes,yes,yes,31830
101847,house,no,yes,yes,yes,yes,31832
101848,house,yes,yes,yes,yes,yes,31822
101849,house,yes,yes,yes,yes,yes,31823
101850,house,yes,yes,yes,yes,yes,31824
101851,house,yes,yes,yes,yes,yes,31825
101852,house,yes,yes,yes,yes,yes,31826
